Equipo,PJ,G,E,P,GF,GA,GD,Pts,Tiros al arco,Posesión,Precisión de Pase,Duelos Aéreos
Liverpool,33,24,7,2,75,31,+44,79,17.2,57.8,86.2,11.2
Arsenal,33,18,12,3,61,27,+34,66,12.9,50.9,86.6,11.9
Manchester City,34,18,7,9,66,43,+23,61,15.9,61.6,90.0,8.1
Nottingham Forest,33,18,6,9,53,39,+14,60,12.2,39.3,78.0,15.2
Newcastle,33,18,5,10,62,44,+18,59,13.9,46.7,81.8,13.6
Chelsea,33,16,9,8,58,40,+18,57,18.5,68.4,90.5,12
Aston Villa,34,16,9,9,54,49,+5,57,12.8,46.6,85.7,10.3
Bournemouth,33,13,10,10,52,40,+12,49,15.9,48.0,79.3,15.8
Fulham,33,13,9,11,48,45,+3,48,12,56.1,87.6,15
Brighton,33,12,12,9,53,53,0,48,16.3,48.0,84.3,6
Brentford,33,13,7,13,56,50,+6,46,11.5,47.5,80.7,16.9
Crystal Palace,33,11,11,11,41,45,-4,44,10.5,42.7,83.0,11
Everton,33,8,14,11,34,40,-6,38,15,42.0,82.5,12
Manchester United,33,10,8,15,38,46,-8,38,23,58.5,86.5,10
Wolves,33,11,5,17,48,61,-13,38,13,48.0,83.9,8
Tottenham,33,11,4,18,61,51,+10,37,13.3,55.5,86.5,11.9
West Ham,33,9,9,15,37,55,-18,36,12.7,47.7,82.3,15.7
Ipswich,33,4,9,20,33,71,-38,21,20,78.9,88.0,22
Leicester,33,4,6,23,27,73,-46,18,15.7,62.3,88.2,12.7
Southampton,33,2,5,26,24,78,-54,11,10.5,64.7,91.2,8.8
